capacidade_estadio,publico_estadio,time_casa,valor_mercado_casa,valor_mercado_media_casa,media_idade_casa,jogadores_de_selecao_casa,jogadores_de_sub_selecao_casa,estrangeiros_casa,gols_casa,posse_casa,socios_torcedores_casa,tentativas_casa,chutes_fora_casa,defesa_casa,escanteios_casa,cobrancas_falta_casa,faltas_cometidas_casa,impedimentos_casa,time_fora,valor_mercado_fora,valor_mercado_media_fora,media_idade_fora,jogadores_de_selecao_fora,jogadores_de_sub_selecao_fora,estrangeiros_fora,socios_torcedores_fora,gols_fora,posse_fora,tentativas_fora,chutes_fora_fora,defesa_fora,escanteios_fora,cobrancas_falta_fora,faltas_cometidas_fora,impedimentos_fora,ano,fase
49.205,44.672,SC Corinthians,111250.0,3370.0,26.4,5.0,2.0,10.0,1,55,116188.0,13,8,6,8,11,11,2,São Paulo FC,76850.0,2260.0,27.0,7.0,0.0,7.0,151724.0,1,45,14,4,5,8,11,12,2,2022,7.Rodada
60.326,37.507,Fortaleza EC,47150.0,1630.0,30.0,2.0,1.0,10.0,0,63,34119.0,23,7,2,12,13,13,0,Fluminense FC,66750.0,1850.0,28.2,6.0,2.0,9.0,48280.0,1,37,7,4,8,5,11,14,3,2022,7.Rodada
42.372,15.949,Athletico Paranaense,38300.0,1200.0,26.3,1.0,3.0,8.0,2,42,0.0,12,5,3,5,16,23,1,Avaí FC,8150.0,313.0,29.7,0.0,0.0,1.0,9327.0,1,58,9,3,1,4,23,17,0,2022,7.Rodada
14.525,6.283,Goiás EC,13800.0,460.0,28.1,0.0,0.0,3.0,1,52,0.0,17,7,3,6,22,18,0,RB Bragantino,66600.0,2300.0,25.0,4.0,0.0,7.0,0.0,1,48,14,8,1,1,18,22,1,2022,8.Rodada
72.039,32.977,São Paulo FC,76850.0,2260.0,27.0,7.0,0.0,7.0,2,51,151724.0,15,7,2,8,8,19,2,Ceará SC,25600.0,731.0,28.5,0.0,0.0,5.0,10236.0,2,49,7,2,3,3,18,10,3,2022,8.Rodada
60.326,22.466,Fortaleza EC,47150.0,1630.0,30.0,2.0,1.0,10.0,1,62,34119.0,14,5,7,8,14,10,1,EC Juventude,15130.0,445.0,28.1,1.0,0.0,4.0,3020.0,1,38,16,5,2,7,10,16,0,2022,8.Rodada
20.120,14.220,Santos FC,88750.0,2610.0,26.7,3.0,2.0,8.0,0,45,70773.0,17,7,3,3,15,19,1,SE Palmeiras,228450.0,7370.0,25.8,7.0,1.0,8.0,175974.0,1,55,17,9,3,4,18,15,2,2022,8.Rodada
40.502,20.302,Coritiba FC,16500.0,569.0,27.8,1.0,0.0,4.0,1,28,38000.0,15,8,3,5,12,10,3,Botafogo FR,119000.0,3970.0,25.8,4.0,3.0,5.0,56417.0,0,72,18,8,3,9,10,12,4,2022,8.Rodada
82.238,57.919,Fluminense FC,66750.0,1850.0,28.2,6.0,2.0,9.0,1,62,48280.0,17,7,1,12,15,9,2,CR Flamengo,201250.0,6490.0,27.0,12.0,1.0,7.0,109442.0,2,38,7,3,5,2,8,16,4,2022,8.Rodada
49.205,34.922,SC Corinthians,111250.0,3370.0,26.4,5.0,2.0,10.0,1,63,116188.0,7,1,4,6,19,13,0,América Mineiro,13830.0,419.0,26.2,0.0,0.0,2.0,1225.0,1,37,13,3,3,5,13,19,1,2022,8.Rodada
42.968,4.539,Cuiabá EC,12500.0,417.0,24.8,0.0,0.0,1.0,0,58,0.0,10,6,7,8,17,9,0,Athletico Paranaense,38300.0,1200.0,26.3,1.0,3.0,8.0,0.0,1,42,19,4,0,8,8,17,4,2022,8.Rodada
